title_english,image_webp_large_url,trailer_url,episodes,duration,rating,synopsis,background,year,studios,themes,genres,demographics
"The iDOLM@STER Million Live! ""Dreaming!"" Animation PV",https://cdn.myanimelist.net/images/anime/11/76796l.webp,https://www.youtube.com/watch?v=TV7SHFVA4Ac,1.0,1 min,PG-13 - Teens 13 or older,Animation PV of The iDOLM@STER Million Live! included with the limited edition of release of the single THE IDOLM@STER LIVE THE@TER DREAMERS 01 Dreaming!,---,2012.0,A-1 Pictures,"Idols (Female), Music",No genres,No demographic
Robocar Poli,https://cdn.myanimelist.net/images/anime/2/76801l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,26.0,11 min per ep,PG - Children,"In Brooms Town, every vehicle has a voice and a personality, and they work together with the human residents in a peaceful harmony. The residents are happy and carefree, but once in a while trouble rears its head. Brooms Town can rest easy, though, for at any sign of danger, the Rescue Team is there. Poli the police car, Roy the fire truck, and Amber the ambulance are joined by their friends as they patrol the streets of Brooms Town and help out its citizens.

Robocar Poli is aimed at small children, and has a charming cast of characters composed of rescue vehicles that can transform into humanoid robots. Aimed at teaching children about safety rules, every episode has a moral to be learned. Poli and his friends are here to teach everything from road safety to the value of friendship and teamwork.","Robocar Poli was part of the Global Animation Project 2009 from the Korea Creative Content Agency. In March 2013, a limited edition set of 2 million Robocar Poli stamps were made available from Korea Post.",2011.0,No studio,Racing,Comedy,Kids
Isobe Isobee Monogatari: Ukiyo wa Tsurai yo (2015),https://cdn.myanimelist.net/images/anime/4/76925l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,33.0,30 sec per ep,PG-13 - Teens 13 or older,"Isobe Isobee is a lazy, slacker samurai with big dreams. He lives with his mother, who thinks highly of him. He lays around the house, sneakily looks at Edo-period pornography without his mother noticing, naps at school... but he plans to become a respectable samurai one day!

(Source: MangaHelpers)",---,2012.0,Gathering,"Gag Humor, Historical",Comedy,Shounen
Big Order (TV),https://cdn.myanimelist.net/images/anime/11/79757l.webp,https://www.youtube.com/watch?v=DpGlepcMre0,10.0,24 min per ep,R+ - Mild Nudity,"Ten years ago, a fairy by the name of Daisy appeared and asked the child Eiji Hoshimiya what his one and only wish was. Although his wish remains a mystery, the consequences were catastrophic. In an event called the ""Great Destruction,"" the world started to fall apart as everything collapsed and countless people died.

Now, Eiji is a high school student whose only concern is his sick sister. He does not remember what he wished for; all that he remembers is that his wish caused the Great Destruction. In the years since that event, thousands of other people have also received abilities to make their heart's desire come true. These people called ""Orders"" are believed to be evil and are hated by the general public. However, some of these Orders are after Eiji's life in vengeance for those that he killed. Will Eiji be able to survive the numerous assassination attempts? And the biggest mystery of all: what did he wish for, and what were his intentions in wishing for something that caused so much desolation?

[Written by MAL Rewrite]",---,2016.0,asread.,Super Power,Action,Shounen
"Ai think so,",https://cdn.myanimelist.net/images/anime/11/77036l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,4 min,G - All Ages,"Music video for DECO*27's song ""Ai think so,"".",---,2012.0,No studio,Music,No genres,No demographic
Wakaba Girl Special,https://cdn.myanimelist.net/images/anime/12/76819l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,8 min,PG-13 - Teens 13 or older,Extra episode bundled with the second Blu-ray and DVD volume of Wakaba*Girl.,---,2012.0,Nexus,CGDCT,Slice of Life,No demographic
Pokémon Mystery Dungeon: Gates to Infinity,https://cdn.myanimelist.net/images/anime/5/76844l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,2.0,2 min per ep,G - All Ages,"A boy awakens to the sound of someone crying for help. Looking around he notices he is on a body of water. Upon looking at his hands, he realizes he has been transformed into an Oshawott. He panics, and then finds himself plummeting toward then ground. He then wakes up again to find himself in a forest, with a female Pikachu leaning over him, asking if he's okay.

(Source: Bulbapedia)",---,2012.0,OLM,No theme,"Adventure, Fantasy",Kids
Shinsetsu Kachikachi Yama,https://cdn.myanimelist.net/images/anime/9/77039l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,6 min,G - All Ages,A seven minute long short-movie directed by Kon Ichikawa in 1936.,---,2012.0,No studio,Historical,"Action, Fantasy",No demographic
Girls Beyond the Wasteland,https://cdn.myanimelist.net/images/anime/4/77837l.webp,https://www.youtube.com/watch?v=rblaPG33Hnk,12.0,24 min per ep,PG-13 - Teens 13 or older,"Shoujo-tachi wa Kouya wo Mezasu is a series all about finding oneself and a direction in life... no matter how far off the beaten path it might be. 

Buntarou Hojo is a high school student who has a talent for writing, but no real direction in life or any plans for the future. His classmate, Sayuki Kuroda notices his talent, decides to help him find a way to use it properly by enlisting him in her bishoujo game development group.

When Buntarou is cornered in the men's bathroom at school by Sayuki, he is surprised when he is asked out on what he thinks is a date, and even further surprised when he finds out that it's not a date, but a job interview. Reluctantly agreeing, the two start recruiting other members for their team but will they learn more about game creation, or life itself along the way?","The visual novel was released on March 25, 2016 in Japan. It shares its cast with that of the anime.",2016.0,Project No.9,"Otaku Culture, School",No genres,No demographic
Seraph of the Endless: Battle in Nagoya,https://cdn.myanimelist.net/images/anime/10/77545l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,4.0,4 min per ep,PG-13 - Teens 13 or older,Specials included in the Blu-ray and DVD releases.,---,2012.0,Wit Studio,Parody,"Comedy, Fantasy",Shounen
PriPara Movie: Mi~nna no Akogare♪ Let's Go☆Prix Paris,https://cdn.myanimelist.net/images/anime/2/77624l.webp,https://www.youtube.com/watch?v=QA7EX2YU_ts,1.0,1 hr 12 min,PG - Children,"Falulu is far away in the heart of the PriPara world in Puransu. The sparkle is disappearing from the idol sacred ground PriPara, and Falulu sends an SOS message to Laala and her friends. If the sparkle doesn't return, the PriPara world itself will disappear. Laala and her friends try to help Falulu, and they work together to save the PriPara world.

(Source: ANN)",---,2012.0,Tatsunoko Production,"Idols (Female), Music, School",Slice of Life,No demographic
Mini Hama: Minimum Hamatora Movies,https://cdn.myanimelist.net/images/anime/7/76836l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,2.0,5 min per ep,PG-13 - Teens 13 or older,Two special episodes of Mini Hama promoting the Fw:Hamatora movie.,It was later broadcasted one week after main Mini Hama TV Series.,2012.0,Lerche,"School, Super Power","Comedy, Mystery",No demographic
Monchhichiisu,https://cdn.myanimelist.net/images/anime/12/77037l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,20.0,1 min per ep,PG - Children,"The CG anime series is based on Sekiguchi Corporation's line of stuffed toy monkeys. Ashi Productions previously produced the Monchichi, the Twins television anime series that aired in 1980. An American-produced animated series titled Monchhichis also aired in the 1980s.

(Source: ANN)",---,2013.0,No studio,No theme,No genres,Kids
White Tree,https://cdn.myanimelist.net/images/anime/10/76842l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,5 min,G - All Ages,"A music video of a song by the same name, performed by the band SID.",---,2012.0,No studio,Music,Romance,No demographic
Kashikokimono,https://cdn.myanimelist.net/images/anime/8/77038l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,9 min,G - All Ages,A combination of hand-drawn animation and computer-based generative animation exploring music and animation as a form of organic expression. Animated by Takahiro Hayakawa.,---,2012.0,No studio,Music,Avant Garde,No demographic
Phantom of the Kill: Zero kara no Hangyaku,https://cdn.myanimelist.net/images/anime/1854/112817l.webp,https://www.youtube.com/watch?v=2NhTYuXiVj8,1.0,21 min,R - 17+ (violence & profanity),"Game producer Jun Imaizumi announced six new projects related to the smartphone game ""Phantom of the Kill"" during a Niconico live broadcast celebrating the game's one-year anniversary on Friday. One of the new projects is a 15-minute anime concept film.

Naoyoshi Shiotani (Psycho-Pass, Blood-C: The Last Dark) will direct the concept film at Production I.G 

Fuji &amp; Gumi Games' strategy drama RPG follows mysterious girls who carry the names of legendary weapons (such as ""Masamune"") as they search for their lost memories. The game allows players to collect characters and weapons, and enter dungeons to engage in turn-based tactical battles.

(Source: ANN)",---,2012.0,Production I.G,No theme,"Action, Adventure, Fantasy",No demographic
Full Metal Panic! Invisible Victory,https://cdn.myanimelist.net/images/anime/1033/92011l.webp,https://www.youtube.com/watch?v=IoY2RXjESV0,12.0,24 min per ep,R - 17+ (violence & profanity),"The boisterous student Kaname Chidori and soldier Sousuke Sagara are enjoying a blissful high school life. However, their peaceful days are disrupted by the threatening terrorist organization Amalgam. Leonard Testarossa, a member of the organization who possesses ""Whispered,"" seeks to procure Kaname and her knowledge. 

Kaname and Sousuke's battle against Amalgam starts right in their own neighborhood, which eventually takes them on a hunt around the world. From the exotic lands of Laos to the barren Mexican coast, Sousuke must gather intelligence to bring down Amalgam. Meanwhile, Kaname's abilities grow, but so does her frustration as her resolve withers. Caught up in an intense game of hide and seek, as well as strategic plots, the pair try to connect and push beyond their own limits. 

[Written by MAL Rewrite]",---,2018.0,Xebec,"Mecha, Military",Action,No demographic
JoJo's Bizarre Adventure: Diamond Is Unbreakable,https://cdn.myanimelist.net/images/anime/3/79156l.webp,https://www.youtube.com/watch?v=gagUdy3AY14,39.0,23 min per ep,R - 17+ (violence & profanity),"The year is 1999. Morioh, a normally quiet and peaceful town, has recently become a hotbed of strange activity. Joutarou Kuujou, now a marine biologist, heads to the mysterious town to meet Jousuke Higashikata. While the two may seem like strangers at first, Jousuke is actually the illegitimate child of Joutarou's grandfather, Joseph Joestar. When they meet, Joutarou realizes that he may have more in common with Jousuke than just a blood relation.

Along with the mild-mannered Kouichi Hirose and the boisterous Okuyasu Nijimura, the group dedicates themselves to investigating recent disappearances and other suspicious occurrences within Morioh. Aided by the power of Stands, the four men will encounter danger at every street corner, as it is up to them to unravel the town's secrets, before another occurs.

[Written by MAL Rewrite]",JoJo no Kimyou na Bouken: Diamond wa Kudakenai is a full adaptation of the fourth part of the JoJo no Kimyou na Bouken manga series.,2016.0,David Production,Super Power,"Action, Adventure",Shounen
Alice in Dreamland,https://cdn.myanimelist.net/images/anime/1054/132914l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,44 min,G - All Ages,"Alice is summoned by the White Rabbit to save Wonderland from spreading Darkness. However, she knows Alice in Wonderland is a story and that this must be a dream. And so it proves, but at the end, the now grown-up Alice sees the events of her dream begin to unfold for real.

(Source: thestreamable)",---,2012.0,No studio,No theme,"Adventure, Avant Garde, Fantasy",No demographic
Shooting Hero,https://cdn.myanimelist.net/images/anime/12/76864l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,A music video for the song Shooting Hero by Duke Aces. Aired as part of NHK's Minna no Uta program from April to May 1986.,---,2012.0,No studio,Music,Sports,Kids
Sora no Arawashi,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,9 min,G - All Ages,Short movie by Noburou Oofuji.,---,2012.0,No studio,No theme,"Action, Drama",No demographic
This Art Club Has a Problem!,https://cdn.myanimelist.net/images/anime/3/80688l.webp,https://www.youtube.com/watch?v=74nhsY34tpM,12.0,24 min per ep,PG-13 - Teens 13 or older,"Mizuki Usami is a passionate member of her school's art club, but the club has a problem—Usami is the only member who takes her craft seriously! The lazy club president constantly sleeps through activities and Collette has not regularly attended club activities in quite some time. Subaru Uchimaki, despite being an exceptional artist who could win an award if he tried, is obsessed with drawing the perfect 2D wife.

As Usami struggles to do art club-like activities, she is often obstructed by her motley crew of good-for-nothings and her distracting crush on Subaru.

[Written by MAL Rewrite]",---,2016.0,feel.,"School, Visual Arts","Comedy, Romance",Seinen
Power Powan,https://cdn.myanimelist.net/images/anime/10/87804l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,---,---,2012.0,No studio,Music,No genres,Kids
Ponta Monogatari,https://cdn.myanimelist.net/images/anime/12/87805l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,A song about a tanuki named Ponta who struggles using his tanuki powers.,---,2012.0,No studio,Music,Supernatural,Kids
Mama Gomennasai,https://cdn.myanimelist.net/images/anime/4/87806l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,A little boy apologizes to his mom about all the bad pranks he's been pulling.,---,2012.0,No studio,Music,No genres,Kids
Mama no Earring,https://cdn.myanimelist.net/images/anime/10/87807l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,A little girl adores her mother's pearl earrings.,---,2012.0,No studio,Music,No genres,Kids
Mama no Kekkon,https://cdn.myanimelist.net/images/anime/7/87808l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,4 min,G - All Ages,A young girl sings about her mother's re-marriage and how happy she feels that her mom found love.,---,2012.0,No studio,Music,No genres,Kids
Minna no Umi,https://cdn.myanimelist.net/images/anime/4/87809l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,4 min,G - All Ages,A little boy reminisces his time at the beach with his grandmother now that she had passed away.,---,2012.0,No studio,Music,No genres,Kids
Meiwaku Danchi,https://cdn.myanimelist.net/images/anime/7/87810l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,"6 children sit in front of the classroom and constantly gossip. When one of them is absent for three days due to a cold, the rest remain quiet as they don't want to leave the other child out from day-to-day gossip.",---,2012.0,No studio,"Music, School",No genres,Kids
Yasashii Kaze,https://cdn.myanimelist.net/images/anime/2/87811l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,A nice wind blows gently on some children at a park.,---,2012.0,No studio,Music,No genres,Kids
Yasashi-sa no Tamatebako,https://cdn.myanimelist.net/images/anime/12/87812l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,A town full of anthropomorphic animals shows kindness to each other.,---,2012.0,No studio,Music,No genres,Kids
Yukai na Mezamashi Tokei,https://cdn.myanimelist.net/images/anime/8/87813l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,A song about an alarm clock being used every day.,---,2012.0,No studio,Music,No genres,Kids
Reset,https://cdn.myanimelist.net/images/anime/11/87814l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,"Sometimes when you feel like you've failed, you want to press a reset button to start over.",---,2012.0,No studio,Music,No genres,Kids
Lu La La,https://cdn.myanimelist.net/images/anime/6/87815l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,A man receives a strange egg for Christmas which hatches a heart creature.,---,2012.0,No studio,Music,No genres,Kids
Waga Na wa Cowboy,https://cdn.myanimelist.net/images/anime/3/87816l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,A child plays cowboy with their wooden horse.,---,2012.0,No studio,Music,No genres,Kids
One Nyan Monogatari,https://cdn.myanimelist.net/images/anime/7/87817l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,A stray dog falls in love with a pampered cat.,---,2012.0,No studio,Music,No genres,Kids
Wonderful World: Ganmen Shintaisou,https://cdn.myanimelist.net/images/anime/9/87818l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,A whimsical calisthenics song about how wonderful the world is from grand things like romantic proposals to mundane things like good dental care.,---,2012.0,No studio,Music,No genres,Kids
Ichiendama no Tabigarasu,https://cdn.myanimelist.net/images/anime/12/87819l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,A one-yen coin becomes a samurai in search of adventure and love.,---,2012.0,No studio,"Music, Samurai",Adventure,No demographic
Ima demo Senchou to Yobarete Iru Senchou no Yoru,https://cdn.myanimelist.net/images/anime/2/87820l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,A sea captain enjoys a nice night slumber at home. But he ponders about all the adventures he'd had before finally drifting off.,---,2012.0,No studio,Music,No genres,Kids
Frankenstein Family,https://cdn.myanimelist.net/images/anime/7/88806l.webp,https://www.youtube.com/watch?v=rjxdBE6YaN0,12.0,16 min per ep,PG-13 - Teens 13 or older,"Tanis, a child genius, is the youngest son of two mad scientists. His family has spent their lives withdrawn from normal society living on an isolated island, where the couple conducts experiments on Tanis' siblings that result in them gaining abnormal abilities. However, this activity is put to a stop when they are caught and arrested.

Tanis is brought by government officials to a more populated island, alongside his four siblings: Snow, a dog-human hybrid; Ashise, a plant-human hybrid; Aisley, a spider-human hybrid; and Suishi, a mind-reader. Being the only one who has not been genetically modified, Tanis takes on the responsibility of adapting his siblings to society, all while trying to conceal their' distinctive characteristics.

[Written by MAL Rewrite]","Shiyan Pin Jiating, also know as The Frankenstein Family, is based on the ongoing manhua series (Chinese manga) of the same name, created by Yanai, a manhuajia from Hong Kong. The series is published by Sun Comics (Rigeng Jihua), who also collaborated with Tencent Penguin Pictures and Phoenix Animation (Dahuoniao Donghua) on the anime adaptation. In an added segment in the original manhua, creator Yanai states that the ideas for the characters originated from a group drawing project in middle school, which he then further refined. There is currently no North American company licensed to carry this production.",2012.0,Big Firebird Culture,No theme,"Sci-Fi, Slice of Life",No demographic
Na mo Nai Hana no Youni,https://cdn.myanimelist.net/images/anime/8/87822l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,Various people take care of their pet dogs.,---,2012.0,No studio,"Music, Pets",No genres,Kids
Yumehito: Yumejin,https://cdn.myanimelist.net/images/anime/3/87823l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,4 min,G - All Ages,A university student dreams of becoming a ballet dancer. She feels like she can't ever achieve it but goes through a period of self-reflection of what makes her happy.,---,2012.0,No studio,Music,No genres,Kids
Koinu no Plue,https://cdn.myanimelist.net/images/anime/7/87824l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,A man plays with his puppy through the different seasons but the dog passes away. The man feels blue that he lost his best friend but doesn't regret the time he spent with it.,---,2012.0,No studio,"Music, Pets",No genres,Kids
Baby Elephant Walk,https://cdn.myanimelist.net/images/anime/12/87825l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,"A Japanese rendition of Henry Mancini's song Baby Elephant Walk which was originally created for the 1962 American film ""Hatari!"".",---,2012.0,No studio,Music,No genres,Kids
Chiisana Tegami,https://cdn.myanimelist.net/images/anime/8/87826l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,4 min,G - All Ages,Various people try to write a small letter to those significant in their lives.,---,2012.0,No studio,Music,No genres,Kids
Kawa wa Dare no Mono?,https://cdn.myanimelist.net/images/anime/3/87827l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,"A song about how the rain becomes rivers, how the rivers give life, and how the rivers become wide open seas.",---,2012.0,No studio,Music,No genres,Kids
"Attakai, Fuyu Canada",https://cdn.myanimelist.net/images/anime/2/87832l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,31 sec,G - All Ages,A Japanese tourism promotion anime inviting Japanese people to visit Canada. The anime is sponsored by the Canada Tourism Bureau (Canada Kankou Kyoku) which celebrates its 150th anniversary.,---,2012.0,CoMix Wave Films,No theme,Slice of Life,No demographic
MFKZ,https://cdn.myanimelist.net/images/anime/1718/95259l.webp,https://www.youtube.com/watch?v=k1Qor3xMfW0,1.0,1 hr 33 min,R - 17+ (violence & profanity),"After a scooter accident provoked by a mysterious woman's vision, Angelino, a deadbeat like thousands of others in Dark Meat City, starts getting violent migraines that are accompanied by strange hallucinations. Along with his good buddy Vinz, he tries to figure out what's happening to him while threatening men in black seem determined to catch him.

(Source: Annecy)","Mutafukaz is a joint production of France and Japan adapting the comic strip series (bande dessinée) of the same name by Guillaume Renard, also known as Run. The comic strip was first published in 2006 and ran until the release of its final chapter in 2015. The film was in production for seven years, with Ankama publicly announcing the project in 2011 and first screening it at the 2017 Annecy International Animated Film Festival.",2012.0,"Studio 4°C, Ankama Animations","Psychological, Super Power","Action, Sci-Fi",No demographic
Joshi Kausei,https://cdn.myanimelist.net/images/anime/1748/111393l.webp,https://www.youtube.com/watch?v=DGbcIrgVANA,12.0,3 min per ep,PG-13 - Teens 13 or older,"Momoko Futo is an average high-school girl going about her everyday life. Though laid-back and cheerful, her life is anything but mundane as her eccentricity and clumsiness never fail to spice up her days. Her two best friends are always with her: the cute and innocent Mayumi Furui, and the calm and cool Shibumi Shibusawa. Without any spoken dialogue or narration, Joshikausei aims to recount the comedic shenanigans these girls get up to through the expressive sounds and gestures that they make.

[Written by MAL Rewrite]",---,2019.0,Seven,"CGDCT, School",Comedy,No demographic
"Demon Lord, Retry!",https://cdn.myanimelist.net/images/anime/1754/113897l.webp,https://www.youtube.com/watch?v=dfm4V4eHPRk,12.0,23 min per ep,PG-13 - Teens 13 or older,"Akira Oono is an ordinary working adult who manages the MMORPG Infinity Game. Fifteen years after creating the game, Oono decides to shut the servers down once and for all. However, as the clock strikes midnight, he somehow finds himself in the body of middle-aged Hakuto Kunai, Infinity Game's Demon Lord!

Soon after his mysterious transportation, he witnesses the demon Greole chasing after a little girl named Aku. Although he effortlessly dispatches the creature, Hakuto is still concerned; after all, he does not remember creating the girl or the demon! Doubting whether he truly is in the world of his creation, Hakuto decides to investigate. Bringing Aku along as his guide and companion, Hakuto sets out on a journey to find out exactly who or what summoned him to this fantasy world—all while leaving chaos and destruction in his wake.

[Written by MAL Rewrite]",---,2019.0,EKACHI EPILKA,Isekai,"Action, Adventure, Fantasy",No demographic
Nagano Toshi Gas x Kamiusagi Rope,https://cdn.myanimelist.net/images/anime/1192/93663l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,4.0,Unknown,G - All Ages,"A collaboration between Kamiusagi Rope and Nagano City Gas. The individual episodes were shown for 1 week on Nagano Broadcasting Systems official YouTube channel and website. Then later on the following Mezamashi Doyoubi (Saturday) broadcast.

The goal was to inform people that Nagano City Gas' office has a wide variety of services such as a showroom showcasing remodeled gas kitchens, how to make sure you aren't losing money from bathroom heating, etc.",---,2012.0,No studio,No theme,"Comedy, Slice of Life",No demographic
The Magnificent Kotobuki,https://cdn.myanimelist.net/images/anime/1252/96179l.webp,https://www.youtube.com/watch?v=gdpR4flD84A,12.0,24 min per ep,PG-13 - Teens 13 or older,"Across the desolate wilderness, resources are scant and survival is the utmost priority. Essential supplies are delivered through the network of zeppelins, relying on protection from mercenary crews piloting single-engine fighter planes. At odds with pirates and political conflict, these brave aviators provide the strongest guard to stability in such dismal lands.

Kylie—a talented, hotshot pilot—serves with one such crew: the Kotobuki Squadron. Recruited to the group by her childhood friend Emma, her natural aptitude for flight makes her a key member. Armed with their Hayabusa fighter planes, the six-member squadron is hired to protect people, goods, and society as they continue to engage hardships in their complex world.

[Written by MAL Rewrite]",---,2019.0,"WAO World, GEMBA",Military,"Action, Adventure",No demographic
A Destructive God Sits Next to Me,https://cdn.myanimelist.net/images/anime/1848/103547l.webp,https://www.youtube.com/watch?v=7DR1E7E2gc0,12.0,23 min per ep,PG-13 - Teens 13 or older,"In the distant past, Miguel, the God of Destruction, was sealed inside the knight who ruled over light and darkness, Sturmhurt. Alongside the knight was Gestöber, who accompanied him through countless battles. In the present day, destiny causes them to reincarnate as Kabuto Hanadori and Seri Koyuki, two classmates.

Their reunion should be a joyous moment, if not for the fact that these fantasied heroes are just products of Kabuto's delusions. As the fictional ""Gestöber,"" Seri finds himself in various embarrassing situations due to Kabuto's antics that sometimes grow out of his control. Moreover, his classmate Utsugi Tsukimiya joins the fray with his absurdly accurate mind-reading abilities, slowly destroying Seri's social life.

Seri tries hard to stay away from them, refusing to acknowledge their shenanigans, however with Kabuto's chuunibyou and Utsugi's unpredictability, he is only bound to be swept by the craziness coming his way.

[Written by MAL Rewrite]",---,2020.0,EMT Squared,School,Comedy,Josei
Time: Toki no Shiori,https://cdn.myanimelist.net/images/anime/1124/93691l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,On a wonderful night the desire to stop time is overwhelming. Longing for it to remain at it is with a spirit of hope and love that we contain in ourselves worried that the passage of minutes might snatch it away.,---,2012.0,No studio,Music,No genres,Kids
Ohayou no Uta,https://cdn.myanimelist.net/images/anime/1681/93692l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,"Expressing a state of a simple weekday morning, this picture-drama good morning song celebrates the happiness of life.",---,2012.0,No studio,Music,No genres,Kids
Ichiban Kirei na Hoshi,https://cdn.myanimelist.net/images/anime/1736/93694l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,"A song about the most beautiful star in the sky and how it encourages people to ""wish upon"" it.",---,2012.0,No studio,Music,No genres,Kids
Sokkuri House,https://cdn.myanimelist.net/images/anime/1841/93695l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,A little girl looks into a doll house that's exactly like the house she's in currently including the dolls in side it.,---,2012.0,No studio,Music,No genres,Kids
TaChiTsuTeTo Te wo,https://cdn.myanimelist.net/images/anime/1681/93696l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,"A song about the ""T"" line of katakana gojuuon that children learn.",---,2012.0,No studio,Music,No genres,Kids
Piano (Music),https://cdn.myanimelist.net/images/anime/1253/93699l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,A young boy rough houses with the piano. It starts making a strange sound. After it gets fixed he vows to treat it properly. He takes care of it and practices diligently until years later he performs in front of an audience.,---,2012.0,No studio,Music,No genres,Kids
Yume Miru Koneko,https://cdn.myanimelist.net/images/anime/1574/93702l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,"A music video about a cat named Yume (which also means ""dream"" in Japanese). The song itself parodies the songs Der Flohwalzer (in Japan named as Neko Fun Jatta / I Stepped on a Cat) and Beautiful Dreamer (Yumemiru Hito) depending on whether or not ""Yume"" is being seen as a real cat or as a metaphorical dream or as a dream Yume the cat is having.

The music video was aired for 1 month before becoming lost media. In 2016 the Minna no Uta Hakkutsu Project (Minna no Uta Excavation Project) was able to find discover a copy and the music video was saved and re-aired once again after 34 years.","The Minna no Uta Hakkutsu Project started in 2009 and is an initiate to archive ~500 lost songs from the program due to loss of master tapes, audio, and film from 1961-1982. Due to the copyright law of the time, price of film reels, and overwriting tapes. Similar issues plagued the BBC (e.g. Doctor Who missing episodes). By 2016, 220 songs were recovered with 100 of them being music videos.",2012.0,No studio,"Music, Parody",No genres,Kids
Tenka Muteki no Gouyaaman★,https://cdn.myanimelist.net/images/anime/1151/93706l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,"A stop-motion music video of bitter melon superhero named Gouyaaman (Bittermelonman). It is originally based on an insert song from the live-action TV series Churasan where Gouyaaman was an in-story yuru-chara a character created to help promote tourism to the dying town. In the TV series, Gouyaaman was a failure and the butt of jokes. Unprecedentedly, the TV series was popular and Gouyaaman became a real-life yuru-chara in Okinawa with merchandising.",---,2012.0,No studio,"Music, Super Power",No genres,Kids
AniMen: The Galactic Battle,https://cdn.myanimelist.net/images/anime/1073/93708l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,1 hr 24 min,PG-13 - Teens 13 or older,"Millennia ago, a ferocious nomadic tribe uncovered a forbidden lair of data crystals. These crystals gave the SWARM tribe advanced knowledge of warfare and genetic manipulation. Like wildfire, their vast empire soon spread across the galaxy, conquering and destroying everything in their path. The few survivors brave enough to fight back rose from the ashes. This is their story.

(Source: Amazon)",---,2012.0,Shanghai Hippo Animation,"Mecha, Military, Space","Action, Sci-Fi",No demographic
